label,full_threshold,subset_threshold,method_full,method_subset
LabelFillingP,0.5015645027160645,0.379715234041214,youden,youden
LabelEF,0.49597930908203125,0.3670167326927185,youden,youden
LabelCO,0.43086421489715576,0.24958479404449463,youden,youden
LabelLAV,0.37114402651786804,0.22298581898212433,youden,youden
LabelRVO2E,0.9040328860282898,0.7906599640846252,youden,youden
LabelLVO2E,0.4319588840007782,0.5125734210014343,youden,youden
LabelLVMVO2,0.2241300344467163,0.25822654366493225,youden,youden
LabelRVMVO2,0.8134459257125854,0.7364267706871033,youden,youden
LabelLVME,0.44620758295059204,0.28167828917503357,youden,youden
LabelRVME,0.6697789430618286,0.6151849627494812,youden,youden
