label,full_threshold,subset_threshold,method_full,method_subset
LabelFillingP,0.4210626780986786,0.31949883699417114,youden,youden
LabelEF,0.49597930908203125,0.3889690935611725,youden,youden
LabelCO,0.43086421489715576,0.2609241008758545,youden,youden
LabelLAV,0.37114402651786804,0.24630649387836456,youden,youden
LabelRVO2E,0.9040328860282898,0.8122130036354065,youden,youden
LabelLVO2E,0.4319588840007782,0.5323697328567505,youden,youden
LabelLVMVO2,0.2241300344467163,0.23984791338443756,youden,youden
LabelRVMVO2,0.8134459257125854,0.795835554599762,youden,youden
LabelLVME,0.44620758295059204,0.29472997784614563,youden,youden
LabelRVME,0.6697789430618286,0.6208961009979248,youden,youden
